image name,Algorithm,Filters,Bandwidth/Cluster Value,precision,recall,fscore,IoU,peer Precision,Peer Recall,Peer fscore,Peer IoU
img01.jpg,kmeans,RGB,2,72.62%,76.33%,0.74,59.27%,72.72%,76.55%,0.74,59.48%
img01.jpg,kmeans,LAB,2,72.62%,76.33%,0.74,59.27%,72.72%,76.55%,0.74,59.48%
img01.jpg,kmeans,GABOR,2,33.51%,30.17%,0.28,18.87%,33.46%,30.04%,0.28,18.81%
img01.jpg,Mean Shift,RGB,80,85.83%,77.84%,0.81,68.98%,86.00%,78.07%,0.81,69.27%
img01.jpg,Mean Shift,LAB,50,39.20%,37.54%,0.38,23.73%,39.03%,37.30%,0.38,23.57%
img02.jpg,Mean Shift,RGB,60,72.83%,53.98%,0.39,44.93%,26.79%,45.95%,0.34,20.37%
img02.jpg,Mean Shift,LAB,30,18.34%,20.01%,0.19,10.58%,18.30%,19.97%,0.19,10.56%
img02.jpg,kmeans,RGB,3,36.53%,16.27%,0.19,12.68%,49.69%,45.42%,0.45,31.11%
img02.jpg,kmeans,LAB,3,11.39%,11.28%,0.11,6.01%,11.41%,11.60%,0.11,6.10%
img02.jpg,kmeans,GABOR,3,36.10%,24.29%,0.29,16.98%,37.62%,21.09%,0.26,15.63%
img03.jpg,kmeans,RGB,4,37.06%,43.39%,0.40,24.98%,37.22%,45.53%,0.41,25.76%
img03.jpg,kmeans,LAB,4,37.06%,43.39%,0.40,24.98%,37.49%,53.40%,0.44,28.24%
img03.jpg,kmeans,GABOR,4,30.92%,35.47%,0.31,19.79%,30.41%,36.25%,0.30,19.82%
img03.jpg,Mean Shift,RGB,40,51.40%,45.94%,0.45,32.03%,14.88%,20.14%,0.17,9.36%
img03.jpg,Mean Shift,LAB,40,34.23%,35.13%,0.31,20.97%,20.71%,10.87%,0.14,7.68%
img04.jpg,kmeans,RGB,10,17.03%,18.96%,0.16,9.86%,10.78%,8.28%,0.09,4.91%
img04.jpg,kmeans,LAB,10,16.72%,16.62%,0.14,9.09%,14.13%,13.70%,0.13,7.47%
img04.jpg,kmeans,GABOR,10,8.28%,8.66%,0.08,4.42%,16.08%,17.23%,0.16,9.07%
img04.jpg,Mean Shift,RGB,20,3.58%,2.26%,0.02,1.40%,3.94%,5.24%,0.04,2.30%
img04.jpg,Mean Shift,LAB,20,2.45%,3.38%,0.03,1.44%,4.99%,4.37%,0.04,2.38%
img05.jpg,kmeans,RGB,3,41.90%,44.13%,0.33,27.38%,49.82%,50.62%,0.42,33.53%
img05.jpg,kmeans,LAB,3,41.90%,44.13%,0.33,27.38%,49.82%,50.62%,0.42,33.53%
img05.jpg,kmeans,GABOR,3,49.19%,57.10%,0.49,35.92%,49.53%,43.57%,0.34,30.17%
img05.jpg,Mean Shift,RGB,40,47.20%,62.19%,0.51,36.67%,47.55%,62.25%,0.51,36.91%
img05.jpg,Mean Shift,LAB,40,46.05%,61.02%,0.49,35.58%,46.35%,61.08%,0.49,35.78%
img06.jpg,kmeans,RGB,5,19.09%,12.20%,0.13,8.04%,21.55%,20.60%,0.19,11.77%
img06.jpg,kmeans,LAB,5,17.76%,9.90%,0.11,6.79%,19.03%,12.23%,0.13,8.04%
img06.jpg,kmeans,GABOR,5,17.71%,18.26%,0.11,9.88%,25.58%,27.93%,0.18,15.41%
img06.jpg,Mean Shift,RGB,40,13.10%,7.92%,0.08,5.19%,16.91%,15.51%,0.15,8.80%
img07.png,kmeans,RGB,2,72.51%,77.33%,0.74,59.80%,72.59%,77.62%,0.74,60.03%
img07.png,kmeans,LAB,2,72.51%,77.33%,0.74,59.80%,72.59%,77.62%,0.74,60.03%
img07.png,kmeans,GABOR,2,76.90%,84.52%,0.77,67.41%,76.90%,84.77%,0.77,67.56%
img07.png,Mean Shift,RGB,40,21.52%,10.13%,0.14,7.40%,28.45%,13.76%,0.17,10.22%
img07.png,Mean Shift,LAB,40,64.39%,63.70%,0.64,47.11%,64.47%,63.88%,0.64,47.25%
img08.jpg,kmeans,RGB,5,40.88%,48.59%,0.40,28.53%,36.36%,31.89%,0.34,20.47%
img08.jpg,kmeans,LAB,5,36.63%,31.85%,0.34,20.54%,36.36%,31.89%,0.34,20.47%
img08.jpg,kmeans,GABOR,5,19.39%,25.49%,0.21,12.38%,37.97%,34.05%,0.34,21.88%
img08.jpg,Mean Shift,RGB,30,66.13%,68.59%,0.67,50.75%,15.93%,13.33%,0.14,7.83%
img08.jpg,Mean Shift,LAB,30,2.98%,5.74%,0.04,2.00%,11.97%,25.18%,0.16,8.83%
img09.png,kmeans,RGB,5,27.04%,28.31%,0.27,16.05%,33.33%,36.04%,0.34,20.95%
img09.png,kmeans,LAB,5,27.04%,28.31%,0.27,16.05%,15.40%,14.67%,0.15,8.12%
img09.png,kmeans,GABOR,5,36.95%,34.16%,0.34,21.58%,20.70%,18.76%,0.18,10.92%
img09.png,Mean Shift,RGB,40,21.67%,36.63%,0.27,15.76%,16.79%,26.82%,0.20,11.51%
img09.png,Mean Shift,LAB,60,13.63%,31.28%,0.19,10.49%,10.69%,25.66%,0.15,8.16%
img10.jpg,kmeans,RGB,4,37.97%,32.70%,0.31,21.31%,46.57%,46.07%,0.29,30.14%
img10.jpg,kmeans,LAB,4,24.77%,19.29%,0.20,12.16%,25.75%,9.03%,0.06,7.16%
img10.jpg,kmeans,GABOR,4,44.51%,34.81%,0.32,24.28%,25.90%,16.55%,0.17,11.23%
img10.jpg,Mean Shift,RGB,40,29.28%,24.62%,0.26,15.44%,49.12%,50.73%,0.44,33.25%
img10.jpg,Mean Shift,LAB,20,41.05%,46.83%,0.44,28.00%,45.27%,45.91%,0.45,29.53%
